t_ms,left_speed,right_speed,left_enc_cm,right_enc_cm
3,4.189,8.378,-0.032,0.000
106,4.189,8.378,-0.000,0.064
208,4.189,8.378,-0.000,0.032
310,4.189,8.378,-0.000,0.064
412,4.189,8.378,-0.000,0.064
513,4.189,8.378,-0.000,0.064
614,4.189,8.378,0.032,0.064
717,4.189,8.378,0.064,0.064
819,4.189,8.378,0.129,0.193
920,4.189,8.378,0.129,0.290
1022,4.189,8.378,0.193,0.387
1123,4.189,8.378,0.258,0.516
1230,4.189,8.378,0.322,0.644
1333,4.189,8.378,0.419,0.870
1434,4.189,8.378,0.516,1.096
1535,4.189,8.378,0.677,1.353
1636,4.189,8.378,0.806,1.740
1793,4.189,8.378,1.031,2.256
1895,4.189,8.378,1.257,2.674
1997,4.189,8.378,1.482,3.093
2099,4.189,8.378,1.676,3.544
2200,4.189,8.378,1.933,3.995
2301,4.189,8.378,2.159,4.511
2402,4.189,8.378,2.417,5.027
2503,4.189,8.378,2.674,5.574
2604,4.189,8.378,2.964,6.154
2707,4.189,8.378,3.287,6.734
2809,4.189,8.378,3.609,7.282
2910,4.189,8.378,3.931,7.926
3012,4.189,8.378,4.221,8.603
3113,4.189,8.378,4.543,9.248
3216,4.189,8.378,4.865,9.924
3319,4.189,8.378,5.220,10.601
3420,4.189,8.378,5.542,11.213
3525,4.189,8.378,5.897,11.922
3626,4.189,8.378,6.187,12.566
3727,4.189,8.378,6.541,13.211
3828,4.189,8.378,6.863,13.887
3929,4.189,8.378,7.185,14.564
4030,4.189,8.378,7.508,15.241
4132,4.189,8.378,7.830,15.950
4233,4.189,8.378,8.184,16.658
4336,4.189,8.378,8.506,17.335
4439,4.189,8.378,8.829,18.076
4540,4.189,8.378,9.151,18.785
4641,4.189,8.378,9.473,19.494
4742,4.189,8.378,9.795,20.267
4843,4.189,8.378,10.118,21.008
4945,4.189,8.378,10.472,21.782
5046,4.189,8.378,10.794,22.523
5147,4.189,8.378,11.116,23.264
5248,4.189,8.378,11.471,24.069
5349,4.189,8.378,11.825,24.875
5451,4.189,8.378,12.244,25.713
5553,4.189,8.378,12.631,26.550
5655,4.189,8.378,12.985,27.356
5757,4.189,8.378,13.404,28.162
5859,4.189,8.378,13.759,28.967
5961,4.189,8.378,14.113,29.740
6062,4.189,8.378,14.500,30.514
6163,4.189,8.378,14.886,31.319
6264,4.189,8.378,15.273,32.125
6365,4.189,8.378,15.660,32.963
6466,4.189,8.378,16.079,33.768
6567,4.189,8.378,16.465,34.606
6669,4.189,8.378,16.852,35.444
6770,4.189,8.378,17.238,36.281
6872,4.189,8.378,17.625,37.151
6977,4.189,8.378,18.044,37.957
7079,4.189,8.378,18.366,38.698
7180,4.189,8.378,18.688,39.471
7281,4.189,8.378,19.011,40.245
7382,4.189,8.378,19.365,41.050
7483,4.189,8.378,19.752,41.920
7584,4.189,8.378,20.074,42.726
7685,4.189,8.378,20.461,43.531
7786,4.189,8.378,20.815,44.337
7887,4.189,8.378,21.202,45.174
7988,4.189,8.378,21.621,46.044
8089,4.189,8.378,22.072,46.914
8191,4.189,8.378,22.491,47.817
8293,4.189,8.378,22.942,48.719
8395,4.189,8.378,23.361,49.621
8497,4.189,8.378,23.779,50.523
8599,4.189,8.378,24.231,51.361
8701,4.189,8.378,24.649,52.231
8802,4.189,8.378,25.068,53.101
8903,4.189,8.378,25.552,53.971
9004,4.189,8.378,25.971,54.841
9105,4.189,8.378,26.389,55.646
9206,4.189,8.378,26.808,56.355
9307,4.189,8.378,27.195,57.096
9409,4.189,8.378,27.549,57.838
9510,4.189,8.378,27.872,58.579
9612,4.189,8.378,28.194,59.352
9713,4.189,8.378,28.548,60.093
9816,4.189,8.378,28.935,60.834
9919,4.189,8.378,29.386,61.575
10020,4.189,8.378,29.805,62.284
10121,4.189,8.378,30.288,63.025
10222,4.189,8.378,30.771,63.799
10327,4.189,8.378,31.255,64.668
10428,4.189,8.378,31.706,65.442
10529,4.189,8.378,32.221,66.215
10630,4.189,8.378,32.705,66.956
10732,4.189,8.378,33.220,67.665
10833,4.189,8.378,33.736,68.406
10936,4.189,8.378,34.219,69.179
11039,4.189,8.378,34.703,69.985
11140,4.189,8.378,35.121,70.823
11241,4.189,8.378,35.540,71.628
11342,4.189,8.378,35.959,72.498
11443,4.189,8.378,36.378,73.400
11544,4.189,8.378,36.829,74.206
11645,4.189,8.378,37.248,75.012
11746,4.189,8.378,37.667,75.753
11847,4.189,8.378,38.054,76.494
11948,4.189,8.378,38.472,77.299
12049,4.189,8.378,38.891,78.105
12150,4.189,8.378,39.342,78.943
12252,4.189,8.378,39.794,79.845
12355,4.189,8.378,40.245,80.811
