t_ms,left_speed,right_speed,left_enc_cm,right_enc_cm
1,15,15,-0.0,0.0
53,15,15,0.03222146,0.06444293
104,15,15,0.2255502,0.1611073
155,15,15,0.4511004,0.3866576
205,15,15,0.6766508,0.5799863
256,15,15,0.9022009,0.8377582
306,15,15,1.159973,1.127751
357,15,15,1.417744,1.449966
407,15,15,1.707738,1.772181
457,15,15,1.997731,2.094395
509,15,15,2.287724,2.448832
561,15,15,2.609939,2.771046
612,15,15,2.899932,3.157703
664,15,15,3.222147,3.51214
715,15,15,3.576583,3.898797
766,15,15,3.898797,4.317677
818,15,15,4.253233,4.736556
869,15,15,4.639891,5.123213
920,15,15,4.994327,5.574313
972,15,15,5.413206,5.993193
1022,15,15,5.799864,6.412072
1073,15,15,6.218743,6.895393
1123,15,15,6.669844,7.314272
1173,15,15,7.120944,7.765373
1224,15,15,7.572044,8.216473
1275,15,15,8.055367,8.667574
1325,15,15,8.506466,9.150896
1376,15,15,8.989788,9.634218
1426,15,15,9.473111,10.11754
1477,15,15,9.924212,10.63308
1527,15,15,10.43975,11.14863
1578,15,15,10.92308,11.66417
1629,15,15,11.43862,12.21194
1681,15,15,11.98639,12.7597
1732,15,15,12.53415,13.30746
1784,15,15,13.08191,13.85523
1835,15,15,13.6619,14.40299
1886,15,15,14.24189,14.95076
1938,15,15,14.82187,15.49852
1989,15,15,15.40186,16.04629
2040,15,15,16.01407,16.59406
2092,15,15,16.6585,17.14182
2142,15,15,17.27071,17.65736
2193,15,15,17.91513,18.20513
2243,15,15,18.52734,18.68845
2293,15,15,19.17177,19.23621
2344,15,15,19.84842,19.75176
2395,15,15,20.49285,20.2673
2445,15,15,21.13728,20.81507
2496,15,15,21.81393,21.36283
2546,15,15,22.45836,21.9106
2597,15,15,23.10279,22.45836
2647,15,15,23.74722,23.00613
2698,15,15,24.39165,23.55389
2749,15,15,25.0683,24.13388
2801,15,15,25.74495,24.68164
2852,15,15,26.4216,25.26163
2904,15,15,27.13047,25.87384
