t_ms,left_speed,right_speed,left_enc_cm,right_enc_cm
1,15,15,-0.0,0.03222146
52,15,15,0.03222146,0.06444293
102,15,15,0.1933288,0.2255502
153,15,15,0.3544361,0.4188791
204,15,15,0.5477649,0.7088722
256,15,15,0.7733152,0.9988653
306,15,15,1.063308,1.32108
357,15,15,1.32108,1.675516
407,15,15,1.578852,2.029952
458,15,15,1.868845,2.384388
508,15,15,2.158838,2.738825
559,15,15,2.448832,3.125482
610,15,15,2.771046,3.544361
662,15,15,3.157703,3.931019
714,15,15,3.479918,4.349897
764,15,15,3.834354,4.768777
815,15,15,4.18879,5.187656
865,15,15,4.575448,5.638757
915,15,15,4.962106,6.089857
967,15,15,5.348763,6.540957
1018,15,15,5.767642,7.024279
1071,15,15,6.186522,7.507601
1122,15,15,6.6054,7.990923
1173,15,15,7.024279,8.506466
1224,15,15,7.507601,8.989788
1275,15,15,7.92648,9.537554
1325,15,15,8.377581,10.0531
1376,15,15,8.828681,10.56864
1426,15,15,9.279781,11.08418
1477,15,15,9.763104,11.63195
1527,15,15,10.24643,12.11527
1578,15,15,10.72975,12.66304
1628,15,15,11.27751,13.14636
1679,15,15,11.82528,13.6619
1730,15,15,12.40526,14.14522
1783,15,15,12.98525,14.66077
1833,15,15,13.53301,15.17631
1883,15,15,14.08078,15.69185
1934,15,15,14.59632,16.23962
1984,15,15,15.14409,16.8196
2034,15,15,15.65963,17.39959
2086,15,15,16.2074,17.97958
2136,15,15,16.72294,18.59179
2188,15,15,17.30293,19.20399
2240,15,15,17.88291,19.84842
2290,15,15,18.43068,20.42841
2341,15,15,18.97844,21.07284
2391,15,15,19.55843,21.68505
2443,15,15,20.20286,22.26503
2494,15,15,20.81507,22.84502
2545,15,15,21.4595,23.425
2597,15,15,22.10393,24.03721
2647,15,15,22.71613,24.58498
2698,15,15,23.32834,25.19719
2748,15,15,23.97277,25.77717
2799,15,15,24.6172,26.45382
2850,15,15,25.26163,27.09825
2903,15,15,25.90606,27.74268
2953,15,15,26.51826,28.35489
3003,15,15,27.16269,28.99932
3054,15,15,27.83935,29.64375
3104,15,15,28.48378,30.28818
3154,15,15,29.16042,30.86816
3205,15,15,29.83708,31.48037
