time_ms,x_cm,y_cm,theta_rad,imu_yaw_deg
814303,0.000,0.000,-0.0000,-0.00
814323,0.000,0.000,-0.0000,-0.00
814343,0.016,0.000,0.0020,-0.00
814363,0.048,0.000,0.0021,-0.00
814383,0.097,0.000,0.0003,0.02
814403,0.161,0.000,-0.0052,0.00
814423,0.177,-0.000,-0.0078,-0.09
814443,0.209,-0.000,-0.0076,-0.10
814463,0.226,-0.000,-0.0103,-0.11
814483,0.258,-0.001,-0.0110,-0.20
814503,0.290,-0.001,-0.0105,-0.19
814523,0.306,-0.001,-0.0088,-0.17
814543,0.338,-0.002,-0.0089,-0.18
814563,0.354,-0.002,-0.0116,-0.22
814583,0.371,-0.002,-0.0150,-0.31
814632,0.435,-0.003,-0.0147,-0.32
814643,0.435,-0.003,-0.0141,-0.28
814663,0.451,-0.003,-0.0120,-0.23
814683,0.483,-0.004,-0.0125,-0.27
814703,0.499,-0.004,-0.0159,-0.37
814724,0.548,-0.005,-0.0186,-0.49
814743,0.580,-0.005,-0.0187,-0.49
814763,0.628,-0.006,-0.0168,-0.51
814783,0.677,-0.007,-0.0196,-0.56
814803,0.709,-0.007,-0.0196,-0.58
814823,0.741,-0.008,-0.0206,-0.63
814843,0.789,-0.009,-0.0236,-0.70
814863,0.838,-0.010,-0.0268,-0.81
814883,0.870,-0.011,-0.0271,-0.86
814903,0.934,-0.013,-0.0274,-0.87
814923,0.983,-0.014,-0.0308,-0.98
814943,1.015,-0.015,-0.0315,-1.06
814963,1.095,-0.018,-0.0350,-1.14
814983,1.160,-0.020,-0.0361,-1.28
815003,1.240,-0.023,-0.0388,-1.35
815023,1.289,-0.025,-0.0421,-1.44
815043,1.369,-0.029,-0.0446,-1.51
815063,1.449,-0.032,-0.0436,-1.56
815083,1.514,-0.035,-0.0434,-1.61
815104,1.594,-0.039,-0.0462,-1.63
815123,1.659,-0.041,-0.0465,-1.68
815151,1.739,-0.045,-0.0488,-1.71
